module,skill,display-name,menu-code,description,action,args,phase,after,before,required,output-location,outputs
DeepEval Evals,_meta,,,,,,false,,,false,,https://deepeval.com/guides/guides-ai-agent-evaluation
DeepEval Evals,deepeval-evals-setup,Setup DeepEval Evals,DEV,"Install or update the DeepEval Evals module — registers skills in the help system and configures output paths.",configure,"{-H: headless mode}|{inline values: skip prompts with provided values}",anytime,,deepeval-help,false,{project-root}/_bmad,config.yaml and module-help.csv
DeepEval Evals,deepeval-help,DeepEval Help,DH,"Router and diagnostic — asks one question at a time to identify eval stage and routes to the correct skill.",,,anytime,,,false,,
DeepEval Evals,deepeval-strategy,Eval Strategy,DEST,"Plan evaluation approach before writing any code — agent profile, failure modes, metric selection, three-tier gate strategy. Produces a written eval plan document.",,,1-strategy,,deepeval-setup,false,eval_output_folder,eval plan document
DeepEval Evals,deepeval-setup,DeepEval Setup,DSU,"Install and configure DeepEval in the project — pip install, API keys, Confident AI login, smoke test.",,,2-setup,deepeval-strategy,deepeval-instrument,true,,
DeepEval Evals,deepeval-instrument,Instrument Agent,DIN,"Add @observe decorators to agent code to enable component-level evals. Supports Python, LangGraph, CrewAI, LlamaIndex, Pydantic AI, OpenAI Agents SDK.",,,3-data,deepeval-setup,deepeval-build-dataset,true,,
DeepEval Evals,deepeval-build-dataset,Build Dataset,DBD,"Create evaluation dataset with goldens — manual creation, Synthesizer (from docs/scratch), JSON/CSV import, or Confident AI cloud.",,,3-data,deepeval-instrument,deepeval-error-analysis,false,eval_output_folder,evaluation dataset
DeepEval Evals,deepeval-error-analysis,Error Analysis,DEA,"⭐ Trace review workflow (Hamel Husain): open coding → axial coding → binary judges → AlignEval calibration. Derives product-specific evals from real failures — the most important and most-skipped step.",,,3-data,deepeval-build-dataset,deepeval-pick-metrics,false,eval_output_folder,failure categories|calibrated judges
DeepEval Evals,deepeval-pick-metrics,Pick Metrics,DPM,"Select the right metrics — built-in (TaskCompletion / ToolCorrectness / ArgumentCorrectness / PlanQuality / PlanAdherence / StepEfficiency) and pass^k measurement strategy.",,,4-metrics,deepeval-error-analysis,deepeval-run-and-analyze,false,,
DeepEval Evals,deepeval-custom-metric,Custom Metric,DCM,"Build GEval or DAGMetric custom judges — judge bias mitigation, AlignEval calibration, strict binary mode.",,,4-metrics,deepeval-error-analysis,deepeval-run-and-analyze,false,eval_output_folder,custom metric
DeepEval Evals,deepeval-run-and-analyze,Run and Analyze,DRA,"Run evals locally and interpret results — evals_iterator, diagnostic decision tree, tau-bench fault taxonomy, pass^k analysis, iteration guidance.",,,5-evaluation,deepeval-pick-metrics,deepeval-production,true,,
DeepEval Evals,deepeval-production,Production,DPD,"Migrate to production — Confident AI metric_collection (async, zero latency), CI/CD with deepeval test run, three-tier gate strategy, judge drift monitoring biweekly, cost-per-resolution tracking.",,,6-production,deepeval-run-and-analyze,,false,,
